Date_Time,P1_h_left,P1_h_right,P1_h_average,P2_h_left,P2_h_right,P2_h_average,P3_h_left,P3_h_right,P3_h_average,P123_h_average
2023-04-22 23:00:00,-0.1878950000000259,-0.5041980000000876,-0.34604650000005677,-0.6188419999998587,-0.040305999999873166,-0.3295739999998659,,-0.10084299999971336,-0.6883899999997993,-0.454670166666574
2023-04-22 23:15:00,-0.1849160000001575,-0.5071290000000772,-0.34602250000011736,-0.616696999999931,-0.03686100000004444,-0.3267789999999877,,-0.09839899999997215,-0.6890000000000782,-0.45393383333339443
2023-04-22 23:30:00,-0.1849170000000413,-0.507129999999961,-0.34602350000000115,-0.614947999999913,-0.035112000000026455,-0.32502999999996973,,-0.10014899999987392,-0.69074999999998,-0.45393449999998364
2023-04-22 23:45:00,-0.18102799999996932,-0.5060889999999745,-0.3435584999999719,-0.6171629999998913,-0.0358459999997649,-0.3265044999998281,,-0.10148200000003271,-0.6942664999999124,-0.45477649999990416
2023-04-23 00:15:00,-0.1842690000003131,-0.5102970000002642,-0.34728300000028867,-0.618630999999823,-0.034830000000056316,-0.32673049999993964,,-0.09464699999989534,-0.6898240000000442,-0.45461250000009085
2023-04-23 00:45:00,-0.18562800000017887,-0.5141640000001644,-0.3498960000001716,-0.6208469999996851,-0.03464099999973769,-0.3277439999997114,,-0.09758899999997084,-0.695605999999998,-0.457748666666627
2023-04-23 01:30:00,-0.18756400000029316,-0.5177900000003319,-0.35267700000031255,-0.6277329999998074,-0.03887200000008306,-0.3333024999999452,,-0.10008200000038414,-0.7008745000002818,-0.46228466666684653
2023-04-23 01:45:00,-0.18438400000013644,-0.5138050000000476,-0.349094500000092,-0.629214999999931,-0.038968999999724474,-0.33409199999982775,,-0.09687299999995957,-0.6985520000000633,-0.46057949999999437
2023-04-23 02:00:00,-0.18438500000002023,-0.5187209999999141,-0.35155299999996714,-0.6257150000001275,-0.03693599999996877,-0.3313255000000481,,-0.09604099999978644,-0.6981354999998075,-0.4603379999999409
2023-04-23 02:15:00,-0.1837359999999535,-0.5232949999999619,-0.3535154999999577,-0.6253209999999854,-0.0334010000001399,-0.32936100000006263,,-0.09389800000008108,-0.7003509999999551,-0.46107583333332514
2023-04-23 02:30:00,-0.187235000000328,-0.5266870000000381,-0.35696100000018305,-0.636395999999877,-0.04321799999979703,-0.339806999999837,,-0.09361900000021706,-0.7010845000002064,-0.4659508333334088
2023-04-23 02:45:00,-0.18509499999981927,-0.5249379999995654,-0.3550164999996923,-0.6351129999998193,-0.03971999999976106,-0.3374164999997902,,-0.08895100000017919,-0.6983935000000656,-0.4636088333331827
2023-04-23 03:15:00,-0.18483400000013717,-0.5327590000001692,-0.3587965000001532,-0.6400929999999789,-0.047599999999874854,-0.3438464999999269,,-0.09103899999990972,-0.7007589999998345,-0.46780066666663817
2023-04-23 03:30:00,-0.18619300000000294,-0.5303020000001197,-0.35824750000006134,-0.6405589999999393,-0.04336800000010044,-0.34196350000001985,,-0.09437500000012733,-0.7067374999999174,-0.46898283333333285
2023-04-23 03:45:00,-0.18807200000037483,-0.5320520000000215,-0.36006200000019817,-0.6404150000003028,-0.04395700000031866,-0.34218600000031074,,-0.09495299999980489,-0.7066614999998819,-0.4696365000001303
2023-04-23 04:00:00,-0.18736300000000483,-0.5303030000000035,-0.3588330000000042,-0.6423190000000432,-0.043958000000202446,-0.3431385000001228,,-0.08854599999995116,-0.7014940000001388,-0.4678218333334219
2023-04-23 04:45:00,-0.18555500000002212,-0.5361769999999524,-0.36086599999998725,-0.6460030000002916,-0.045235000000047876,-0.34561900000016976,,-0.0830670000000282,-0.7005805000001146,-0.4690218333334239
2023-04-23 05:00:00,-0.18703300000015588,-0.5382709999998951,-0.3626520000000255,-0.6544720000001689,-0.05315000000018699,-0.35381100000017796,,-0.0896229999998468,-0.7078039999998964,-0.47475566666669994
2023-04-23 05:30:00,-0.18665400000008958,-0.5390970000003108,-0.3628755000002002,-0.6526090000002114,-0.049315000000206055,-0.3509620000002087,,-0.08773599999994985,-0.7079615000000103,-0.47393300000013977
2023-04-23 05:45:00,-0.18956299999990733,-0.5443430000000262,-0.3669529999999668,-0.6496999999999389,-0.04587499999979627,-0.3477874999998676,,-0.09171199999991586,-0.7131589999999051,-0.47596649999991314
2023-04-23 06:00:00,-0.19170200000007753,-0.5427150000000438,-0.36720850000006067,-0.6521429999997963,-0.048299000000042724,-0.3502209999999195,,-0.09139800000002651,-0.7116060000000743,-0.47634516666668486
2023-04-23 06:15:00,-0.18956299999990733,-0.542594999999892,-0.3660789999998997,-0.6543589999996584,-0.04878499999995256,-0.3515719999998055,,-0.09287099999983184,-0.7151929999997719,-0.4776146666664924
2023-04-23 06:30:00,-0.18600299999980052,-0.5470589999999902,-0.36653099999989536,-0.6551450000001751,-0.048074000000269734,-0.3516095000002224,,-0.09279000000015003,-0.7190339999999651,-0.47905816666669426
2023-04-23 06:45:00,-0.18917299999975512,-0.5438970000000154,-0.36653499999988526,-0.6454970000004323,-0.03727600000001985,-0.3413865000002261,,-0.0942019999997683,-0.7192949999998746,-0.4757388333333286
2023-04-23 07:00:00,-0.18975300000010975,-0.5481060000001889,-0.36892950000014935,-0.6583219999997709,-0.052005000000008295,-0.3551634999998896,,-0.08853600000020379,-0.7132515000000694,-0.47911483333336946
2023-04-23 07:15:00,-0.18878399999994144,-0.5465910000002623,-0.36768750000010186,-0.6587890000000698,-0.04874900000004345,-0.3537690000000566,,-0.09423800000013216,-0.7218735000001288,-0.4811100000000958
2023-04-23 07:30:00,-0.19267300000001342,-0.5458830000002308,-0.3692780000001221,-0.6548250000000735,-0.04451699999981429,-0.3496709999999439,,-0.08881500000006781,-0.7151420000000144,-0.47803033333336015
