size,440,441,442,443,444,456,457,458,459,460,484,485,486,487,488,446,447,448,449,450,451,452,453,454,455,461,462,463,464,465,466,467,468,469,470,471,472,476,477,478,479,480,481,482,490,491,492,493,494,VC-BER-20,VC-BER-21,VC-BER-31,VC-BER-22,VC-BER-23,VC-BER-24,VC-BER-25,VC-BER-26,VC-BER-28,VC-BER-29,VC-BER-27,VC-BER-30,95,96,97,98,100,105,106,107,108,109,111,112,114,GS
8.65,0.02213,0.02422,0.02309,0.01504,0.02612,0.02088,0.02565,0.02135,0.02237,0.02513,0.03255,0.02898,0.02509,0.01887,0.02281,0.019,0.0257,0.03347,0.02612,0.03087,0.02775,0.02084,0.02604,0.03221,0.01275,0.01653,0.02472,0.0241,0.02101,0.0187,0.0161,0.01375,0.01063,0.02314,0.02042,0.02273,0.02289,0.0174,0.01576,0.02082,0.02004,0.01893,0.02089,0.02494,0.02166,0.02626,0.03216,0.0256,0.02454,0.039781976,0.03155463,0.032142787,0.022419883,0.021806637,0.027631802,0.015457143,0.030694145,0.032609908,0.024740224,0.021012007,0.012317167,0.009733337,0.011375035,0.012191673,0.014203204,0.016035493,0.016855034,0.014635807,0.014121954,0.014214389,0.015430313,0.012914064,0.012094138,0.010818235,0.012974742
10.21,0.02546,0.02761,0.0265,0.01798,0.02965,0.02358,0.02885,0.0245,0.02585,0.02881,0.03568,0.03274,0.02821,0.02234,0.02591,0.02147,0.02889,0.03674,0.02876,0.03364,0.03105,0.02399,0.02928,0.03499,0.01495,0.01869,0.02833,0.02713,0.02406,0.0215,0.01902,0.01564,0.01256,0.02666,0.02376,0.02601,0.02619,0.02008,0.01824,0.02404,0.02307,0.02204,0.02384,0.02744,0.02464,0.03033,0.0366,0.03001,0.02856,0.042439009,0.035597403,0.038504585,0.026130146,0.024170374,0.030909194,0.017901174,0.033975712,0.03578837,0.026860354,0.023814629,0.013903469,0.011372483,0.013407462,0.014265515,0.017127393,0.01945761,0.020109394,0.01728311,0.016708074,0.016915396,0.017899163,0.014908919,0.013891915,0.012924325,0.015276244
12.05,0.02883,0.03107,0.03,0.02155,0.03295,0.02635,0.03201,0.02761,0.02927,0.03253,0.03795,0.036,0.03364,0.02611,0.02956,0.02406,0.03198,0.0396,0.03117,0.03619,0.03437,0.027,0.03211,0.03713,0.01743,0.02091,0.03197,0.03015,0.02735,0.02459,0.02255,0.0178,0.01471,0.03028,0.02729,0.02923,0.02939,0.02287,0.02079,0.02731,0.02607,0.02523,0.02665,0.03118,0.02764,0.03439,0.0403,0.03396,0.03274,0.044770476,0.039902693,0.045749966,0.030325217,0.026649981,0.034130079,0.020258307,0.036567523,0.038543037,0.02902079,0.026601936,0.01572305,0.013224379,0.015774256,0.016622152,0.020396673,0.023000863,0.023574502,0.020242417,0.019497595,0.019643685,0.02048374,0.016903774,0.015853127,0.015370528,0.017767904
14.22,0.0338,0.03623,0.03528,0.02703,0.03797,0.03054,0.03666,0.03212,0.03407,0.03781,0.04119,0.04032,0.038,0.03168,0.03511,0.02806,0.03654,0.04391,0.03484,0.04036,0.03953,0.03109,0.03594,0.0404,0.02111,0.0244,0.03722,0.03485,0.03254,0.02949,0.028,0.02124,0.01798,0.03549,0.03232,0.0336,0.03379,0.02702,0.02443,0.03182,0.03021,0.0297,0.03071,0.03424,0.03202,0.0401,0.04556,0.03901,0.03858,0.048719268,0.045879347,0.055194486,0.036152803,0.030334631,0.038537605,0.02358219,0.040423886,0.04243526,0.032245322,0.030507229,0.018382439,0.015985301,0.019301501,0.020109976,0.024937339,0.027755485,0.028652087,0.024336283,0.023507533,0.023654271,0.024379894,0.020106042,0.019448682,0.019164105,0.021382073
16.78,0.03936,0.04206,0.04118,0.03425,0.04308,0.03522,0.04125,0.03691,0.03915,0.04332,0.04478,0.04493,0.04484,0.03882,0.04219,0.0329,0.04138,0.04808,0.03854,0.04431,0.04492,0.03528,0.03965,0.04359,0.02569,0.02828,0.04297,0.04038,0.03893,0.03545,0.03511,0.02551,0.02194,0.04107,0.03805,0.0382,0.03826,0.03176,0.02887,0.03682,0.03479,0.0348,0.03543,0.03899,0.0374,0.04677,0.05157,0.04458,0.04531,0.053098646,0.052416038,0.065286968,0.043078628,0.034204672,0.043171159,0.02753609,0.043674101,0.046684362,0.035703633,0.035009802,0.021648354,0.019336122,0.023307349,0.023912019,0.030004722,0.033115792,0.034484449,0.029413433,0.028737887,0.028701607,0.029626201,0.024673211,0.025495751,0.024475113,0.026084593
19.81,0.04585,0.04861,0.04789,0.0436,0.04846,0.04068,0.04605,0.04226,0.04431,0.04842,0.04924,0.05026,0.05299,0.04749,0.05043,0.03883,0.04655,0.05207,0.04243,0.04808,0.05045,0.03936,0.04306,0.04663,0.031,0.03256,0.04854,0.0461,0.04579,0.04195,0.04308,0.03018,0.02644,0.04619,0.04421,0.04283,0.0424,0.03728,0.03419,0.04236,0.03975,0.0405,0.04088,0.04469,0.0441,0.05459,0.05839,0.05113,0.05309,0.05800313,0.058838972,0.074142434,0.050647565,0.03812106,0.047691699,0.032250356,0.047154234,0.051067294,0.039556949,0.039971821,0.025637437,0.023528274,0.028329411,0.028216811,0.035616986,0.039157493,0.041203917,0.035473867,0.035174127,0.035276785,0.037032751,0.030867762,0.033776422,0.031238145,0.032723861
23.37,0.05224,0.0548,0.05415,0.05404,0.05261,0.04622,0.04968,0.04737,0.04886,0.05167,0.05511,0.05677,0.06033,0.05724,0.05894,0.04517,0.05082,0.05454,0.04542,0.05024,0.05385,0.04301,0.04577,0.04914,0.03646,0.03619,0.05255,0.05027,0.05099,0.04724,0.05028,0.03452,0.03083,0.04936,0.04995,0.04687,0.04524,0.04286,0.04044,0.04797,0.0448,0.0465,0.04672,0.04971,0.05257,0.06311,0.06596,0.05926,0.06217,0.061825896,0.063345526,0.079404661,0.057949362,0.041550797,0.05255128,0.037920509,0.049777397,0.054234604,0.042862095,0.045209507,0.03053631,0.028232962,0.034059544,0.033369992,0.04184678,0.045820021,0.047722438,0.042196127,0.042438507,0.042970562,0.045750878,0.037534779,0.042983221,0.038812218,0.042863062
27.58,0.05919,0.06143,0.06058,0.06562,0.0564,0.05265,0.0536,0.053,0.05325,0.05365,0.06195,0.06414,0.06757,0.06712,0.06676,0.05265,0.05538,0.05677,0.04889,0.05213,0.05644,0.04683,0.04829,0.0515,0.04227,0.04016,0.05511,0.05275,0.05402,0.05117,0.05571,0.03881,0.03569,0.05096,0.05543,0.05088,0.04748,0.04934,0.04764,0.05407,0.05019,0.05295,0.05272,0.05452,0.06247,0.07139,0.07291,0.06865,0.07198,0.065512135,0.066425734,0.079836635,0.064152922,0.044632925,0.058201955,0.044883284,0.052933553,0.057546896,0.04670735,0.051013845,0.036788205,0.034344704,0.041382837,0.040188531,0.049420611,0.053557638,0.055162375,0.049722033,0.05048744,0.051319128,0.054739035,0.044464276,0.05104598,0.046412453,0.057232868
32.55,0.06513,0.06662,0.06575,0.07525,0.05925,0.05834,0.05704,0.05836,0.05737,0.05561,0.06649,0.06929,0.07271,0.07558,0.0726,0.0593,0.05908,0.05781,0.0523,0.05366,0.05857,0.05064,0.05039,0.05314,0.04879,0.04441,0.05695,0.05436,0.0563,0.0552,0.06102,0.04463,0.04284,0.05299,0.06074,0.0551,0.05042,0.05562,0.05452,0.05974,0.05522,0.05899,0.05742,0.0574,0.07058,0.07512,0.07507,0.07554,0.07868,0.066478329,0.065646931,0.073042864,0.066388974,0.046556359,0.062609482,0.05212848,0.05522229,0.059186314,0.04998025,0.055853345,0.0436233,0.041587893,0.049984593,0.048955224,0.057975226,0.061492103,0.061744611,0.056898117,0.058129567,0.059313017,0.062724222,0.053021156,0.058291567,0.053737982,0.071051502
38.41,0.0699,0.0705,0.0694,0.08199,0.06106,0.06364,0.06048,0.06363,0.06227,0.05885,0.06821,0.07171,0.07693,0.08245,0.07652,0.06508,0.06225,0.0581,0.05612,0.05535,0.0609,0.05532,0.05294,0.05477,0.0573,0.04949,0.0595,0.05696,0.05986,0.06132,0.06826,0.05341,0.05441,0.05701,0.06685,0.06045,0.05531,0.06178,0.06151,0.06515,0.06042,0.06503,0.0612,0.05992,0.07597,0.07475,0.07277,0.07922,0.08164,0.065627658,0.062479217,0.063009287,0.066111941,0.049337227,0.066621461,0.060546811,0.05743787,0.059398211,0.052979065,0.06067753,0.051718105,0.05043638,0.059904148,0.060549882,0.068073668,0.069986826,0.067640687,0.064471296,0.065858868,0.067688866,0.06978359,0.064307838,0.066354326,0.062842567,0.081902018
