LISST-Portable Data File  Created on: Tuesday, February 08, 2022  20:06:26   Day: 039 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  LISST-Portable Serial number = 606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Firmware Version 3.013 Aug 10 2021 11:19:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date, Time, Optical Transmission, Total Volume Concentration, Total Mass Concentration, Mean Size, Standard Deviation, D5, D10, D16, D25, D50, D60, D75, D84, D90, D95, D60/D10, Surface Area, Silt Volume, Silt Ratio,0.37,0.44,0.52,0.61,0.72,0.85,1.01,1.19,1.4,1.65,1.95,2.3,2.72,3.2,3.78,4.46,5.27,6.21,7.33,8.65,10.21,12.05,14.22,16.78,19.81,23.37,27.58,32.55,38.41,45.32,53.48,63.11,74.48,87.89,103.72,122.39,144.43,170.44,201.13,237.35,280.09,330.52,390.04,460.27,Sample Note, Operator Name, SOP Name, SOP Note, Optical Model, [real imag], Effective Density, Mixer Speed, Mixer Duration, Ultrasonic Power,Ultrasonic Duration, Average Duration, Single Sample, Manual Control, Battery Voltage, Lref, Lpwr, Reserved, Reserved 
2/8/2022, 20:31:03,0.828,56.327,0,15.14,42.751,1.459,2.231,3.244,5.217,15.077,22.042,38.616,56.425,76.667,111.137,9.878,0.438,50.434,0.895,0.179,0.196,0.222,0.261,0.312,0.372,0.45,0.608,0.887,1.107,1.279,1.451,1.569,1.659,1.757,1.882,1.997,2.104,2.184,2.24,2.289,2.318,2.389,2.462,2.513,2.531,2.522,2.431,2.318,2.187,1.983,1.778,1.488,1.207,0.915,0.696,0.517,0.381,0.268,0.183,0.11,0.059,0.035,0.035, , NICOLE HUCKE, Fraunhofer Auto, Fraunhofer model, Fraunhofer,  n/a,2.65,30,10,100,10,20,0,0,0,0,0,30,-1
2/8/2022, 20:43:43,0.816,102.562,0,27.665,60.535,2.387,4.255,6.842,11.631,30.365,40.527,62.17,84.231,110.431,157.805,9.524,0.252,82.75,0.807,0.175,0.187,0.204,0.229,0.26,0.297,0.354,0.482,0.71,0.897,1.057,1.243,1.389,1.544,1.725,1.973,2.238,2.488,2.708,2.956,3.216,3.473,3.862,4.308,4.792,5.221,5.669,5.914,6.062,6.06,5.754,5.305,4.578,3.835,3.015,2.331,1.729,1.211,0.771,0.561,0.547,0.559,0.431,0.243, , NICOLE HUCKE, Fraunhofer Auto, Fraunhofer model, Fraunhofer,  n/a,2.65,30,10,100,10,20,0,0,0,0,0,30,-1
2/8/2022, 20:45:14,0.817,89.58,0,22.87,52.685,2.125,3.632,5.706,9.383,24.747,33.152,51.1,69.534,91.455,131.11,9.127,0.288,76.851,0.858,0.169,0.182,0.202,0.232,0.268,0.309,0.369,0.501,0.74,0.935,1.101,1.292,1.444,1.606,1.796,2.057,2.333,2.585,2.796,3.025,3.247,3.461,3.787,4.132,4.537,4.877,5.18,5.263,5.185,4.934,4.442,3.866,3.161,2.541,1.939,1.466,1.063,0.716,0.43,0.313,0.33,0.362,0.277,0.132, , NICOLE HUCKE, Fraunhofer Auto, Fraunhofer model, Fraunhofer,  n/a,2.65,30,10,100,10,20,0,0,0,0,0,30,-1
2/8/2022, 20:46:12,0.818,88.279,0,22.432,51.943,2.102,3.584,5.628,9.218,24.2,32.424,50.07,68.195,89.348,127.731,9.045,0.292,76.145,0.863,0.168,0.181,0.202,0.232,0.269,0.311,0.371,0.503,0.743,0.937,1.101,1.291,1.439,1.598,1.789,2.054,2.335,2.591,2.802,3.032,3.252,3.462,3.788,4.138,4.533,4.841,5.122,5.175,5.065,4.796,4.286,3.739,3.063,2.449,1.85,1.392,1.005,0.666,0.391,0.279,0.296,0.337,0.269,0.138, , NICOLE HUCKE, Fraunhofer Auto, Fraunhofer model, Fraunhofer,  n/a,2.65,30,10,100,10,20,0,0,0,0,0,30,-1
2/8/2022, 20:47:51,0.817,83.783,0,21.143,53.134,2.012,3.356,5.209,8.416,22.44,30.481,47.91,65.651,86.71,127.03,9.081,0.309,72.93,0.87,0.171,0.184,0.205,0.234,0.272,0.314,0.376,0.512,0.755,0.954,1.127,1.326,1.486,1.656,1.853,2.121,2.397,2.642,2.841,3.044,3.211,3.376,3.67,3.951,4.259,4.497,4.694,4.692,4.568,4.32,3.872,3.349,2.695,2.117,1.582,1.204,0.896,0.615,0.37,0.27,0.305,0.367,0.297,0.134, , NICOLE HUCKE, Fraunhofer Auto, Fraunhofer model, Fraunhofer,  n/a,2.65,30,10,100,10,20,0,0,0,0,0,30,-1
2/8/2022, 20:48:55,0.818,77.277,0,18.82,44.556,1.896,3.104,4.749,7.573,19.98,27.203,42.4,57.457,74.578,105.897,8.763,0.333,69.532,0.9,0.167,0.181,0.204,0.236,0.277,0.322,0.382,0.519,0.769,0.971,1.144,1.344,1.502,1.671,1.872,2.144,2.42,2.648,2.823,3.019,3.183,3.304,3.539,3.785,4.052,4.244,4.392,4.351,4.177,3.843,3.305,2.745,2.128,1.608,1.157,0.84,0.593,0.389,0.227,0.167,0.197,0.233,0.156,0.051, , NICOLE HUCKE, Fraunhofer Auto, Fraunhofer model, Fraunhofer,  n/a,2.65,30,10,100,10,20,0,0,0,0,0,30,-1
2/8/2022, 20:57:05,0.939,37.466,0,34.396,67.927,3.326,5.816,9.22,15.45,36.089,47.062,72.11,101.462,141.037,207.506,8.092,0.197,28.49,0.76,0.053,0.053,0.052,0.051,0.051,0.054,0.067,0.099,0.15,0.197,0.252,0.321,0.373,0.445,0.51,0.602,0.695,0.774,0.842,0.925,1.025,1.128,1.293,1.491,1.714,1.939,2.154,2.28,2.356,2.344,2.199,2,1.716,1.459,1.189,1.01,0.859,0.751,0.626,0.518,0.381,0.235,0.138,0.093, , NICOLE HUCKE, Fraunhofer Auto, Fraunhofer model, Fraunhofer,  n/a,2.65,30,10,100,10,20,0,0,0,0,0,30,-1
2/8/2022, 20:58:01,0.937,43.152,0,39.767,59.957,3.64,6.453,10.499,17.863,46.527,62.418,89.941,112.575,136.507,176.421,9.672,0.178,28.911,0.67,0.068,0.065,0.061,0.055,0.05,0.051,0.064,0.096,0.144,0.191,0.252,0.325,0.383,0.458,0.527,0.625,0.719,0.795,0.86,0.941,1.043,1.15,1.309,1.476,1.645,1.793,1.926,2.009,2.129,2.311,2.541,2.849,3.031,3.031,2.575,1.955,1.312,0.859,0.549,0.379,0.261,0.156,0.086,0.047, , NICOLE HUCKE, Fraunhofer Auto, Fraunhofer model, Fraunhofer,  n/a,2.65,30,10,100,10,20,0,0,0,0,0,30,-1
2/8/2022, 20:58:57,0.941,28.385,0,24.834,49.695,2.73,4.532,6.76,10.765,25.618,33.433,51.137,71.33,98.572,150.204,7.378,0.245,24.135,0.85,0.041,0.043,0.045,0.049,0.052,0.057,0.069,0.1,0.156,0.205,0.257,0.332,0.385,0.46,0.529,0.625,0.725,0.809,0.873,0.952,1.046,1.137,1.279,1.433,1.587,1.711,1.79,1.761,1.672,1.524,1.317,1.116,0.901,0.737,0.589,0.501,0.432,0.383,0.303,0.212,0.117,0.049,0.017,0.008, , NICOLE HUCKE, Fraunhofer Auto, Fraunhofer model, Fraunhofer,  n/a,2.65,30,10,100,10,20,0,0,0,0,0,30,-1
2/8/2022, 21:00:09,0.942,26.052,0,23.591,58.121,2.563,4.185,6.194,9.662,23.424,31.025,48.871,70.782,104.353,176.221,7.413,0.263,22.154,0.85,0.04,0.042,0.044,0.048,0.052,0.058,0.071,0.102,0.157,0.207,0.262,0.336,0.391,0.467,0.536,0.635,0.734,0.817,0.879,0.953,1.037,1.112,1.228,1.345,1.452,1.522,1.553,1.497,1.394,1.248,1.056,0.879,0.702,0.573,0.466,0.408,0.373,0.365,0.341,0.297,0.206,0.106,0.044,0.018, , NICOLE HUCKE, Fraunhofer Auto, Fraunhofer model, Fraunhofer,  n/a,2.65,30,10,100,10,20,0,0,0,0,0,30,-1
2/8/2022, 21:01:26,0.943,23.502,0,20.13,40.403,2.394,3.84,5.597,8.565,20.533,27.166,41.764,57.429,76.973,115.127,7.075,0.289,21.033,0.895,0.04,0.041,0.044,0.048,0.052,0.059,0.072,0.104,0.16,0.209,0.265,0.34,0.395,0.472,0.543,0.644,0.744,0.822,0.878,0.947,1.024,1.084,1.185,1.283,1.365,1.412,1.419,1.349,1.242,1.104,0.926,0.763,0.597,0.47,0.36,0.291,0.238,0.199,0.15,0.097,0.046,0.016,0.004,0.001, , NICOLE HUCKE, Fraunhofer Auto, Fraunhofer model, Fraunhofer,  n/a,2.65,30,10,100,10,20,0,0,0,0,0,30,-1
2/8/2022, 21:10:28,0.966,17.697,0,28.396,37.712,2.933,5.186,8.139,13.422,32.353,41.93,60.216,75.83,92.366,118.135,8.085,0.223,14.762,0.834,0.025,0.026,0.027,0.028,0.03,0.033,0.041,0.059,0.089,0.113,0.142,0.179,0.2,0.236,0.263,0.309,0.356,0.4,0.44,0.489,0.547,0.604,0.682,0.764,0.844,0.93,1.03,1.108,1.179,1.231,1.214,1.145,0.95,0.716,0.488,0.326,0.216,0.133,0.065,0.027,0.009,0.003,0.001,0, , NICOLE HUCKE, Fraunhofer Auto, Fraunhofer model, Fraunhofer,  n/a,2.65,30,10,100,10,20,0,0,0,0,0,30,-1
2/8/2022, 21:11:28,0.968,14.867,0,24.195,38.311,2.566,4.347,6.641,10.658,26.08,34.406,52.09,70.326,90.51,120.462,7.915,0.256,12.722,0.856,0.022,0.023,0.025,0.027,0.03,0.034,0.043,0.061,0.092,0.118,0.147,0.184,0.207,0.244,0.273,0.318,0.366,0.41,0.451,0.499,0.553,0.599,0.659,0.719,0.777,0.834,0.897,0.918,0.902,0.854,0.761,0.675,0.572,0.483,0.382,0.289,0.202,0.123,0.059,0.023,0.007,0.002,0,0, , NICOLE HUCKE, Fraunhofer Auto, Fraunhofer model, Fraunhofer,  n/a,2.65,30,10,100,10,20,0,0,0,0,0,30,-1
2/8/2022, 21:22:48,0.968,12.645,0,20.31,38.279,2.316,3.766,5.639,8.793,21.008,27.924,42.415,57.631,76.723,114.071,7.415,0.293,11.323,0.895,0.02,0.022,0.024,0.027,0.031,0.035,0.043,0.061,0.094,0.12,0.149,0.189,0.209,0.247,0.276,0.323,0.372,0.417,0.455,0.5,0.549,0.588,0.638,0.679,0.715,0.746,0.775,0.758,0.704,0.625,0.514,0.419,0.323,0.253,0.199,0.167,0.14,0.111,0.074,0.038,0.013,0.003,0.001,0, , NICOLE HUCKE, Fraunhofer Auto, Fraunhofer model, Fraunhofer,  n/a,2.65,30,10,100,10,20,0,0,0,0,0,30,-1
2/8/2022, 21:23:49,0.969,11.386,0,17.371,26.494,2.149,3.448,5.128,7.837,18.305,24.199,36.074,47.045,59,77.911,7.019,0.322,10.754,0.945,0.02,0.021,0.024,0.027,0.031,0.035,0.043,0.062,0.095,0.122,0.151,0.189,0.209,0.245,0.275,0.323,0.373,0.417,0.453,0.496,0.542,0.576,0.619,0.653,0.68,0.702,0.72,0.697,0.637,0.55,0.433,0.33,0.23,0.154,0.098,0.063,0.04,0.024,0.013,0.006,0.002,0.001,0,0, , NICOLE HUCKE, Fraunhofer Auto, Fraunhofer model, Fraunhofer,  n/a,2.65,30,10,100,10,20,0,0,0,0,0,30,-1
2/8/2022, 21:25:29,0.97,10.392,0,15.566,22.446,2.025,3.2,4.679,7.072,16.333,21.612,32.276,41.795,51.541,66.753,6.753,0.35,10.03,0.965,0.02,0.021,0.023,0.027,0.031,0.036,0.044,0.063,0.096,0.123,0.152,0.191,0.212,0.249,0.28,0.327,0.376,0.417,0.449,0.488,0.527,0.552,0.586,0.611,0.629,0.642,0.652,0.621,0.551,0.455,0.337,0.238,0.151,0.092,0.052,0.03,0.018,0.01,0.005,0.003,0.001,0,0,0, , NICOLE HUCKE, Fraunhofer Auto, Fraunhofer model, Fraunhofer,  n/a,2.65,30,10,100,10,20,0,0,0,0,0,30,-1
